// concreteMediator mediator concreteColleague 
DP jdomain.jdraw.gui.TextFontDialog jdomain.util.gui.StandardDialog jdomain.util.gui.FontDialog
DP jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.LoseChanges
DP jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.gui.SearchFrame jdomain.util.gui.StandardDialog jdomain.jdraw.gui.SearchFrame$IconListener
DP jdomain.jdraw.gui.PreviewPanel jdomain.jdraw.gui.DrawPanel jdomain.jdraw.gui.Dispatcher
DP jdomain.jdraw.gui.PreviewPanel jdomain.jdraw.gui.DrawPanel jdomain.jdraw.gui.FramePanel
DP jdomain.jdraw.gui.PreviewPanel jdomain.jdraw.gui.DrawPanel jdomain.jdraw.gui.FolderPanel
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.action.ViewAnimationAction
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.action.LoadAction
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.LoadAction
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.SaveAsAction
DP jdomain.jdraw.action.SaveAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.SortPaletteAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.SortPaletteAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.EditColourAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.EditColourAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.CompressAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.CompressAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.CompressAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.GrayScaleAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.GrayScaleAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.GrayScaleAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.GrayScaleAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.FolderPanel
DP jdomain.jdraw.action.RotateAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.RotateAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.undo.UndoManager
DP jdomain.jdraw.action.RotateAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.RotateAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.FolderPanel
DP jdomain.jdraw.action.ExitAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.action.LoseChanges
DP jdomain.jdraw.action.ExitAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.ExitAction jdomain.jdraw.action.ContinuedAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.ExitAction jdomain.jdraw.action.ContinuedAction jdomain.jdraw.action.LoseChanges
DP jdomain.jdraw.action.ExitAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.ExitAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.LoseChanges
DP jdomain.jdraw.action.ExitAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.ReducePaletteColoursAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.action.CompressAction
DP jdomain.jdraw.action.ReducePaletteColoursAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.ReducePaletteColoursAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.CompressAction
DP jdomain.jdraw.action.ReducePaletteColoursAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.ReducePaletteColoursAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.ResetAlphaValuesAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.ResetAlphaValuesAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.SaveCompressedAction jdomain.jdraw.action.BlockingDrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.SaveCompressedAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.SaveCompressedAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.action.SetTextToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.TextFontDialog
DP jdomain.jdraw.action.SetTextToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
DP jdomain.jdraw.action.SetTextToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.action.SetTextToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.gui.Tool
DP jdomain.jdraw.action.SetTextToolAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.ToggleAntialiasAction
DP jdomain.jdraw.action.ScaleAction jdomain.jdraw.action.DrawAction jdomain.jdraw.action.BlockingDrawAction
